"BookTitle","AuthorName","BookRating"
"House of the Clockwork Women: Machine Love","Adam Abels","reall"
"Die By The Pen","Miles A. Maxwell","3.83"
"Till Tomorrow","Patrick Manzai","3.85"
"The Gates of Evangeline  (Charlotte Cates, #1)","Hester Young","3.82"
"Brazen Violations","Jonathan Macpherson","4.37"
"Mystery:Raw and Personal: Murder Mystery (Mystery :Raw and Personal Book 1)","Yolanda Taylor","3.12"
"Cries of the Eagle","Michael E. Nathanson","4.21"
"The Dime","Kathleen Kent","3.83"
"Getting Thin is Murder","Al W. Moe","4.10"
"Portrait of a Massacre (A Century in Garden City Book 1)","K.T. Monroe","4.67"
"The Mentor","Lee Matthew Goldberg","3.58"
"Collecting the Dead (Special Tracking Unit #1)","Spencer Kope","3.95"
"The Decagon House Murders","Yukito Ayatsuji","3.65"
"Codename: Chimera","J.K. Persy","3.33"
"The Woods (Berry Springs, #1)","Amanda McKinney","4.09"
"The Bone Ritual (The Bone Ritual #1)","Julian Lees","3.37"
"Weighing the Truth","Christine Z. Mason","4.50"
"Murder and Mayhem: A Limited Edition Thriller and Mystery Collection","Nathan M. Farrugia","3.94"
"The Pursuit of Happiness: A Novel by","3052 Alan Trustman","4.30"
"Never Die Alone","Donald Goines","4.27"
"An Angel in Flames (Mount Kenya #1)","N.K. Read","it wa"
"The Anonymous Man","Vincent L. Scarsella","3.81"
"Lawyers Gone Bad (Lawyers Gone Bad #1)","Vincent L. Scarsella","3.75"
"The Unexpected Warrior : an Ace Stone adventure I","Nicholas A. Price","it wa"
"The Insomniacs' Club","Vasily Pugh","4.50"
"Poison Girls","Cheryl L. Reed","4.43"
"Feared (Rosato & DiNunzio, #6)","Lisa Scottoline","4.73"
"The Conchenta Conundrum","Paul Anthony","4.28"
"An Angel Box","Denny Youngblood","4.28"
"The Scent of the Night","Andrea Camilleri","3.99"
"A Little Bit of Blackmail","R.C. Bonitz","3.89"
"The Officer's Lover","Pam Jenoff","3.70"
"Boml†s (Dr. Lengyel, #2)","Levente Lakatos","4.31"
"Danger in Blackwater Swamp","Saundra Kelley","3.94"
"Superior's Jewel: The Apostle Islands Trilogy","Barb Dimich","4.50"
"The Italy Conspiracy","J.D. Mallinson","liked"
"A Real Basket Case (Claire Hanover, Gift Basket Designer, #1)","Beth Groundwater","3.47"
"Chicagoans","John Blandly","it wa"
"Death Can't Take a Joke (Kiszka and Kershaw, #2)","Anya Lipska","4.29"
"Mysterious Things in the Woods","Stephen Young","3.48"
"The Woman Who Stopped Traffic","Daniel Pembrey","3.35"
"Shadow Roll (A Sam Russo Mystery, #1)","Ki Longfellow","reall"
"Deadly Catch (Mac McClellan, #1)","E.Michael Helms","4.07"
"Balancing Act - a Kovak & Quaid Horse Mystery (Book 2)","Toni Leland","4.23"
"Prayer for the dying","Pete Brassett","3.68"
"The Blue Journal: A Detective Anthony Walker Novel","L.T. Graham","3.96"
"Black Cherry Blues (Dave Robicheaux, #3)","James Lee Burke","4.17"
"Navajo Autumn (A Navajo Nation Mystery #1)","R. Allen Chappell","3.78"
"Catharsis","Noorilhuda","2.58"
"The Die is Cast (Leona #1)","Jenny Rogneby","3.34"
"Ocean City Lowdown","Kim Kash","4.02"
"The Deadline","Ron Franscell","4.41"
"Average Joe and the Extraordinaires (Average Joe, #1)","Belart Wright","3.24"
"The Beauty of the End","Debbie Howells","3.61"
"The Poison Artist","Jonathan   Moore","3.56"
"The Lazarus Effect","H.J. Golakai","3.45"
"The Pure And The Hated","Richard Godwin","4.23"
"The Millennium Trilogy (Millennium Trilogy, #1-3)","Stieg Larsson","4.47"
"BIG SLICK (Jon ""Big Slick"" Elder Book 2)","Elijah Drive","4.38"
"Its All Over","Yolanda Tayler","3.73"
"Snapshot","Garry Disher","3.86"
"Dallas Noir","David Hale Smith","3.37"
"The Tokyo Zodiac Murders","Soji Shimada","3.91"
"Dopefiend","Donald Goines","4.36"
"The Western Star (Walt Longmire, #13)","Craig Johnson","4.28"
"For the Sake of Elena (Inspector Lynley, #5)","Elizabeth  George","3.99"
"Deadlock (V.I. Warshawski, #2)","Sara Paretsky","3.80"
"Madeline's Jewel","Barb Dimich","it wa"
"Murder At Scottish Mensa (Mensa Mystery series #2)","Clare O'Beara","4.11"
"Good Dog, Bad Dog (A Sam Russo Mystery, #2)","Ki Longfellow","4.07"
"Fat Cat At Large (A Fat Cat Mystery, #1)","Janet Cantrell","3.61"
"I Shall Not Want (Rev. Clare Fergusson & Russ Van Alstyne Mysteries, #6)","Julia Spencer-Fleming","4.21"
"Double Exposure - a Kovak & Quaid Horse Mystery (Book 1)","Toni Leland","4.28"
"Ancient Blood (Navajo Nation Mystery #3)","R. Allen Chappell","4.11"
"Naked Addiction","Caitlin Rother","reall"
"The Bones of You","Debbie Howells","3.69"
"Savage Highway","Richard Godwin","4.50"
"Het late journaal : een zaak voor commissaris Kostas Charitos","Petros Markaris","3.71"
"The Devotion of Suspect X (Detective Galileo #3)","Keigo Higashino","4.07"
"Bad Wolf (Bodenstein & Kirchoff #6)","Nele Neuhaus","3.95"
"Jewel of the Apostles: The Apostles Islands Trilogy","Barb Dimich","4.75"
"Gypsy Blood (Born to Romany Blood, #1)","Lorrie Unites-Struiff","reall"
